Vbias,lp,wn,wp,r_out,gm_m0,gm_m1
0.2222222,0.00004,0.000005,0.002,10910,0.000000308,5.241E-08
0.2222222,0.00004,0.0000075,0.002,10910,0.000000462,7.567E-08
0.2222222,0.00004,0.00001,0.002,10920,0.000000617,9.892E-08
0.2222222,0.00004,0.0000125,0.002,10920,0.000000771,1.222E-07
0.2222222,0.000015,0.000015,0.00012,10920,0.000000925,1.454E-07
0.2222222,0.000015,0.000005,0.00012,21570,0.000000308,5.001E-08
0.2222222,0.000015,0.0000075,0.00012,21580,0.000000462,7.327E-08
0.2222222,0.000015,0.00001,0.00012,21590,0.000000617,9.652E-08
0.2222222,0.000015,0.0000125,0.00012,21610,0.000000771,1.198E-07
0.2222222,0.00002125,0.000015,0.00014,21620,0.000000925,0.000000143
0.2222222,0.00002125,0.000005,0.00014,18480,0.000000308,5.061E-08
0.2222222,0.00002125,0.0000075,0.00014,18490,0.000000462,7.387E-08
0.2222222,0.00002125,0.00001,0.00014,18500,0.000000617,9.712E-08
0.2222222,0.00002125,0.0000125,0.00014,18510,0.000000771,1.204E-07
0.2222222,0.0000275,0.000015,0.00016,18520,0.000000925,1.436E-07
0.2222222,0.0000275,0.000005,0.00016,16170,0.000000308,5.121E-08
0.2222222,0.0000275,0.0000075,0.00016,16180,0.000000462,7.447E-08
0.2222222,0.0000275,0.00001,0.00016,16180,0.000000617,9.772E-08
0.2222222,0.0000275,0.0000125,0.00016,16190,0.000000771,0.000000121
0.2222222,0.00003375,0.000015,0.00018,16200,0.000000925,1.442E-07
0.2222222,0.00003375,0.000005,0.00018,14370,0.000000308,5.181E-08
0.2222222,0.00003375,0.0000075,0.00018,14380,0.000000462,7.507E-08
0.2222222,0.00003375,0.00001,0.00018,14380,0.000000617,9.832E-08
0.2222222,0.00003375,0.0000125,0.00018,14390,0.000000771,1.216E-07
0.2222222,0.00004,0.000015,0.002,14390,0.000000925,1.448E-07
0.2222222,0.00004,0.000005,0.002,12930,0.000000308,5.241E-08
0.2222222,0.00004,0.0000075,0.002,12940,0.000000462,7.567E-08
0.2222222,0.00004,0.00001,0.002,12940,0.000000617,9.892E-08
0.2222222,0.00004,0.0000125,0.002,12950,0.000000771,1.222E-07
0.2222222,0.000015,0.000015,0.002,12950,0.000000925,1.454E-07
0.2222222,0.000015,0.000005,0.00012,26860,0.000000308,0.00001096
0.2222222,0.000015,0.0000075,0.00012,33110,0.000000462,0.00001752
0.2222222,0.000015,0.00001,0.00012,46740,0.000000617,0.00002549
0.2222222,0.000015,0.0000125,0.00012,118600,0.000000771,0.00003696
0.2222222,0.00002125,0.000015,0.00012,20220000,0.000000925,0.00004542
0.2222222,0.00002125,0.000005,0.00014,21960,0.00002662,0.0000108
0.2222222,0.00002125,0.0000075,0.00014,25680,0.00003994,0.00001702
0.2222222,0.00002125,0.00001,0.00014,32090,0.00005322,0.00002416
0.2222222,0.00002125,0.0000125,0.00014,46790,0.00006645,0.00003292
0.2222222,0.0000275,0.000015,0.00014,144700,0.00007194,0.00004576
0.4444444,0.0000275,0.000005,0.00016,18600,0.00002663,0.00001068
0.4444444,0.0000275,0.0000075,0.00016,21070,0.00003995,0.00001669
0.4444444,0.0000275,0.00001,0.00016,24830,0.00005325,0.00002337
0.4444444,0.0000275,0.0000125,0.00016,31480,0.00006653,0.00003108
0.4444444,0.00003375,0.000015,0.00016,47760,0.00007972,0.0000407
0.4444444,0.00003375,0.000005,0.00018,16140,0.00002663,0.0000106
0.4444444,0.00003375,0.0000075,0.00018,17910,0.00003995,0.00001646
0.4444444,0.00003375,0.00001,0.00018,20390,0.00005325,0.00002284
0.4444444,0.00003375,0.0000125,0.00018,24230,0.00006653,0.00002997
0.4444444,0.00004,0.000015,0.00018,31180,0.00007982,0.00003825
0.4444444,0.00004,0.000005,0.002,14260,0.00002663,0.00001053
0.4444444,0.00004,0.0000075,0.002,15590,0.00003995,0.00001628
0.4444444,0.00004,0.00001,0.002,17360,0.00005325,0.00002246
0.4444444,0.00004,0.0000125,0.002,19870,0.00006663,0.00002922
0.4444444,0.000015,0.000015,0.002,23810,0.00000799,0.00003679
0.4444444,0.000015,0.000005,0.00012,45040,0.00002663,0.00001154
0.4444444,0.000015,0.0000075,0.00012,75690,0.00003996,0.00001965
0.4444444,0.000015,0.00001,0.00012,29150000,0.00005328,0.00003201
0.4444444,0.000015,0.0000125,0.00012,29900000,0.00006658,0.00003204
0.4444444,0.00002125,0.000015,0.00012,29940000,0.00007986,0.00003204
0.4444444,0.00002125,0.000005,0.00014,35340,0.00002663,0.00001124
0.4444444,0.00002125,0.0000075,0.00014,48960,0.00003996,0.00001846
0.4444444,0.00002125,0.00001,0.00014,113000,0.00005328,0.00002872
0.4444444,0.00002125,0.0000125,0.00014,25540000,0.00006659,0.00003737
0.4444444,0.0000275,0.000015,0.00014,25640000,0.00007989,0.00003738
0.4444444,0.0000275,0.000005,0.00016,29190,0.00002661,0.00001104
0.4444444,0.0000275,0.0000075,0.00016,37030,0.0000399,0.00001777
0.4444444,0.0000275,0.00001,0.00016,56810,0.0000518,0.00002621
0.4444444,0.0000275,0.0000125,0.00016,402000,0.00004754,0.00003978
0.4444444,0.00003375,0.000015,0.00016,22390000,0.00004555,0.00004272
0.4444444,0.00003375,0.000005,0.00018,24910,0.00002662,0.0000109
0.4444444,0.00003375,0.0000075,0.00018,30040,0.00003992,0.00001732
0.4444444,0.00003375,0.00001,0.00018,40130,0.00005317,0.00002493
0.4444444,0.00003375,0.0000125,0.00018,74530,0.00005883,0.00003512
